monobit_test_ones_count,monobit_test_zeroes_count,monobit_test_p,frequency_within_block_test_p,runs_test_p,longest_run_ones_in_a_block_test_p,binary_matrix_rank_test_p,dft_test_p,approximate_entropy_test_p,serial_test_p,cumulative_sums_test_p,non_overlapping_template_matching_test_p,label
32822,32778,0.8636017327390523,0.19704903082803485,0.15074229454409846,0.9638606317463256,0.962089981372801,0.17335848376627339,0.3533618032959895,0.3508856868032771,0.6368282294531866,1.0000000040365107,3DES
32919,32681,0.3527678912478873,0.3564247441155159,0.5447044610533324,0.8174862689383953,0.5676926573669853,0.048771993285610465,0.8315681459176952,0.8274667370142778,0.3243182086947256,0.9999999787796526,3DES
33090,32574,0.04404529540965309,0.004393722900106554,0.3291217377502734,0.6482390158283843,0.40481141891279965,0.9885710923295025,0.3242413602670678,0.32899177715144506,0.08809058775565792,0.999991317547956,AES
32854,32746,0.6732665200106237,0.9218282815037755,0.049171623323642624,0.6349866992347661,0.6556103013176372,0.06244913423315843,0.07991960226927279,0.08122033041929604,0.5532243089917683,0.9999951711558824,3DES
32807,32793,0.9564086864419457,0.4099746812355494,0.4581860586902656,0.6005730530262432,0.004268322255008569,0.8578249549495838,0.4923585138134339,0.4915346434041707,0.3290292965125581,0.9999980517094474,CAST
32986,32614,0.14638597411347998,0.6753759702326622,0.0007023708085319478,0.6624462295886872,0.48274463563300607,0.496032448341659,0.020887869455889167,0.019609090941691228,0.2635696480435392,1.0000000039033987,RC4
32678,32922,0.3407623929274809,0.8563831309173748,0.03026689326001645,0.04017054644378578,0.8681862924886302,0.5424659724029122,0.1452913000711331,0.142335499244116,0.26962455269211305,0.999999999366571,Blowfish
32753,32847,0.7136127967075003,0.3708317404690478,0.6958259870201831,0.6787001358080603,0.12430280159967248,0.4736367674411152,0.21941275674559027,0.2182953968876562,0.3434685675114979,0.9999999928169193,CAST
32725,32875,0.5581096605549201,0.6019929923939168,0.6163022947940451,0.4910647040006312,0.5898473382007025,0.4099051721309135,0.5270762136028697,0.5244209748260662,0.4697783343925428,0.999998772399412,RC4
32758,32842,0.7429382018663444,0.11993544250018295,0.5742478569228766,0.08666332835123677,0.12900640315885814,0.38985010219581306,0.7052220922107738,0.7043907343559601,0.5770360325677613,0.9999999935140632,Blowfish
